H_agc trace — per-frame AGC values at dt=0.1 vs dt=0.05
Sync AV pulse, 20 frames on, 40 frames off, n_trials=50, M00 only

Using device: cuda
Using device: cuda
frame    g(0.1)   g(0.05)  exc_f(0.1)  exc_f(0.05)  inh_m(0.1)  inh_m(0.05)  I_M_m(0.1)  I_M_m(0.05)
    0    0.5648   0.5648      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
    1    0.5648   0.5648      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
    2    0.0500   0.0500      0.6649      0.6644    543.2313    614.6110   -543.2313   -614.6110
    3    0.0568   0.0601      0.1257      0.1246     22.3511     25.5927    -11.1165    -10.3647
    4    0.0704   0.0677      0.3509      0.3482     40.9877     58.6736    -12.3819    -29.1931
    5    0.0928   0.0960      0.1030      0.0940     35.1698     32.7618     14.7110     19.8172
    6    0.1171   0.1191      0.0670      0.0657     36.7301     41.2650     31.2461     31.0410
    7    0.1329   0.1403      0.0692      0.0728     53.6865     57.9232     26.1888     32.3741
    8    0.1425   0.1421      0.0646      0.0669     72.0132     82.1188     23.7312     17.9337
    9    0.1506   0.1506      0.0604      0.0612     85.9096     88.8841     24.9871     25.8918
   10    0.1600   0.1584      0.0541      0.0637     94.6654    103.4359     28.0025     25.6859
   11    0.1591   0.1669      0.0535      0.0582    119.7725    115.2005     13.3067     24.7601
   12    0.1729   0.1740      0.0506      0.0536    120.6194    137.3791     26.4169     14.1368
   13    0.1766   0.1817      0.0568      0.0522    147.3994    158.5816      8.6462      4.8426
   14    0.1834   0.1899      0.0423      0.0478    161.5340    167.5850      4.2154      5.8639
   15    0.1935   0.1989      0.0521      0.0487    177.2669    188.9783      1.6622     -2.3039
   16    0.2052   0.2046      0.0448      0.0434    193.8925    204.7203      0.0542     -9.1454
   17    0.2118   0.2106      0.0479      0.0460    211.6854    218.0430     -7.5069    -13.8818
   18    0.2172   0.2229      0.0421      0.0446    228.9819    224.0094    -16.0158     -6.3443
   19    0.2287   0.2254      0.0452      0.0452    235.8502    253.8563     -9.9926    -27.6795
   20    0.2329   0.2407      0.0460      0.0526    251.1224    254.5964    -17.9743    -12.9306
   21    0.2377   0.2389      0.0462      0.0429    260.2077    287.3259    -20.4237    -40.9831
   22    0.2798   0.2766      0.0224      0.0201    187.4787    199.5873     79.4621     66.8903
   23    0.3503   0.3570      0.0179      0.0206    165.1497    163.6180    103.4441    113.0891
   24    0.6304   0.6418      0.0008      0.0008      3.9866      4.6699    280.8478    285.6823
   25    0.9206   0.9331      0.0000      0.0000      0.2621      0.2410    290.2243    291.3749
   26    1.2024   1.2120      0.0000      0.0000      0.3680      0.0441    281.8865    278.9179
   27    1.4683   1.4791      0.0000      0.0000      0.6485      0.2067    266.0488    267.1156
   28    1.7174   1.7285      0.0000      0.0000      0.1278      0.0000    249.1293    249.4312
   29    1.9401   1.9563      0.0000      0.0000      0.7118      0.6033    222.8144    227.9185
   30    2.1505   2.1714      0.0000      0.0000      0.2859      0.0000    210.5480    215.1186
   31    2.3395   2.3660      0.0000      0.0000      0.4265      0.0653    189.0337    194.5532
   32    2.5141   2.5443      0.0000      0.0000      0.1315      0.0000    174.6289    178.3190
   33    2.6737   2.7065      0.0000      0.0000      0.0000      0.3610    159.6421    162.2923
   34    2.8185   2.8529      0.0000      0.0000      0.0695      0.0000    144.7492    146.4243
   35    2.9479   2.9878      0.0000      0.0000      0.1037      0.1929    129.4705    134.9344
   36    3.0642   3.1081      0.0000      0.0000      0.0000      0.0000    116.2862    120.2164
   37    3.1721   3.2218      0.0000      0.0000      0.0978      0.0000    107.9078    113.6968
   38    3.2697   3.3211      0.0000      0.0000      0.0418      0.0144     97.5935     99.3512
   39    3.3583   3.4116      0.0000      0.0000      0.0000      0.0030     88.5722     90.5398
   40    3.4372   3.4940      0.0000      0.0000      0.0645      0.0000     78.9109     82.3275
   41    3.5077   3.5638      0.0000      0.0000      0.0608      0.0301     70.5889     69.7980
   42    3.5698   3.6326      0.0000      0.0000      0.0000      0.0000     62.0706     68.8718
   43    3.6268   3.6885      0.0000      0.0000      0.0000      0.1260     57.0184     55.9378
   44    3.6749   3.7382      0.0000      0.0000      0.0000      0.0009     48.0464     49.6827
   45    3.7184   3.7858      0.0000      0.0000      0.0000      0.0000     43.5681     47.5598
   46    3.7553   3.8275      0.0000      0.0000      0.0000      0.0000     36.9119     41.6827
   47    3.7879   3.8617      0.0000      0.0000      0.0000      0.0000     32.5732     34.2502
   48    3.8184   3.8894      0.0000      0.0000      0.0000      0.0000     30.5020     27.6375
   49    3.8445   3.9134      0.0000      0.0000      0.0000      0.0000     26.0688     24.0499
   50    3.8658   3.9376      0.0000      0.0000      0.0420      0.0000     21.2804     24.2114
   51    3.8854   3.9556      0.0000      0.0000      0.0000      0.0000     19.6564     17.9708
   52    3.9027   3.9734      0.0000      0.0000      0.0000      0.0000     17.3277     17.7802
   53    3.9178   3.9882      0.0000      0.0000      0.0000      0.0000     15.0034     14.8532
   54    3.9308   4.0007      0.0000      0.0000      0.0000      0.0000     13.0492     12.4781
   55    3.9424   4.0112      0.0000      0.0000      0.0000      0.0000     11.5897     10.5131
   56    3.9523   4.0209      0.0000      0.0000      0.0000      0.0000      9.8617      9.6533
   57    3.9598   4.0297      0.0000      0.0000      0.0000      0.0000      7.5941      8.7922
   58    3.9667   4.0369      0.0000      0.0000      0.0000      0.0000      6.8716      7.2792
   59    3.9734   4.0426      0.0000      0.0000      0.0000      0.0000      6.6495      5.6896

Summary over stim window (frames 5-19):
  g_FFinh    : dt=0.1 = 0.1696    dt=0.05 = 0.1721    Δ = +0.0025
  exc_fast   : dt=0.1 = 0.0569    dt=0.05 = 0.0576    Δ = +0.0007  (ratio=1.012)
  inh_mean   : dt=0.1 = 131.6785    dt=0.05 = 138.3162    Δ = +6.6377  (ratio=1.050)
  exc/inh    : dt=0.1 = 0.0004  dt=0.05 = 0.0004
