intensity,A_ms,V_ms,B_ms,UniMean_ms,ΔLat_ms,Model
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_00
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_01
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_02
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_03
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_04
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.7,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
1.0,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
1.4,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_05
0.1,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_06
0.15,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_06
0.2,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_06
0.3,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_06
0.5,30.0,50.0,30.0,40.0,10.0,msi_model_surr_10_06
