A_ms,V_ms,B_ms,UniMean_ms,ΔLat_ms,resolution_ms,n_substeps,pulse_frames,n_frames,intensity,Model,elapsed_s
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_00,3.42
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_00,2.93
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_01,3.23
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_01,2.93
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_02,3.23
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_02,2.93
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_03,3.22
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_03,2.92
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_04,3.24
27.0,42.0,27.0,34.5,7.5,1,10,100,400,1.0,msi_model_surr_10_04,2.97
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_05,3.23
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_05,2.94
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_06,3.22
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_06,2.93
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_07,3.22
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_07,2.92
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_08,3.22
26.0,42.0,27.0,34.0,7.0,1,10,100,400,1.0,msi_model_surr_10_08,2.93
30.0,50.0,30.0,40.0,10.0,10,100,10,40,1.0,msi_model_surr_10_09,3.22
27.0,42.0,27.0,34.5,7.5,1,10,100,400,1.0,msi_model_surr_10_09,2.97
