A_ms,V_ms,B_ms,"min(A,V)_ms",B_vs_minAV_ms,gNMDA,Model,elapsed_s
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_00,6.08
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_00,5.86
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_00,5.81
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_00,5.82
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_00,5.85
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_01,5.87
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_01,5.81
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_01,5.85
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_01,5.8
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_01,5.83
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_02,5.82
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_02,5.87
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_02,5.88
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_02,5.81
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_02,5.5
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_03,5.37
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_03,5.38
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_03,5.39
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_03,5.36
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_03,5.34
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_04,5.38
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_04,5.41
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_04,5.4
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_04,5.37
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_04,5.37
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_05,5.41
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_05,5.44
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_05,5.44
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_05,5.34
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_05,5.34
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_06,5.38
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_06,5.41
41.0,42.0,41.0,41.0,0.0,0.5,msi_model_surr_10_06,5.33
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_06,5.34
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_06,5.35
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_07,5.87
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_07,5.87
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_07,5.84
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_07,5.77
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_07,5.75
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_08,5.9
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_08,5.84
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_08,5.86
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_08,5.77
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_08,5.79
42.0,42.0,41.0,42.0,1.0,0.0,msi_model_surr_10_09,5.85
42.0,42.0,41.0,42.0,1.0,0.05,msi_model_surr_10_09,5.86
42.0,42.0,41.0,42.0,1.0,0.5,msi_model_surr_10_09,5.78
41.0,42.0,41.0,41.0,0.0,1.3,msi_model_surr_10_09,5.79
41.0,42.0,41.0,41.0,0.0,5.0,msi_model_surr_10_09,5.78
