A_ms,V_ms,B_ms,UniMean_ms,ΔLat_ms,"min(A,V)_ms",B_vs_minAV_ms,case,delay_A_ms,delay_V_ms,intensity,Model,elapsed_s
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_00,4.26
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_00,3.36
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_00,5.31
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_00,4.27
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_01,4.05
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_01,3.37
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_01,5.34
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_01,4.26
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_02,4.05
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_02,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_02,5.31
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_02,4.26
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_03,4.03
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_03,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_03,5.31
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_03,4.24
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_04,4.04
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_04,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_04,5.31
34.0,34.0,33.0,34.0,1.0,34.0,1.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_04,4.29
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_05,4.03
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_05,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_05,5.3
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_05,4.25
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_06,4.02
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_06,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_06,5.31
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_06,4.24
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_07,4.03
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_07,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_07,5.3
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_07,4.26
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_08,4.03
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_08,3.34
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_08,5.31
34.0,34.0,33.0,34.0,1.0,34.0,1.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_08,4.32
26.0,42.0,27.0,34.0,7.0,26.0,-1.0,asym_25_40,25.0,40.0,1.0,msi_model_surr_10_09,4.02
26.0,27.0,26.0,26.5,0.5,26.0,0.0,sym_25,25.0,25.0,1.0,msi_model_surr_10_09,3.35
42.0,42.0,41.0,42.0,1.0,42.0,1.0,sym_40,40.0,40.0,1.0,msi_model_surr_10_09,5.29
33.0,34.0,33.0,33.5,0.5,33.0,0.0,sym_32,32.0,32.0,1.0,msi_model_surr_10_09,4.24
