A_ms,V_ms,B_ms,"min(A,V)_ms",B_vs_minAV_ms,UniMean_ms,ΔLat_ms,intensity,Model,elapsed_s
43.0,43.0,43.0,43.0,0.0,43.0,0.0,0.05,msi_model_surr_10_00,4.23
42.0,43.0,42.0,42.0,0.0,42.5,0.5,0.1,msi_model_surr_10_00,3.96
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.15,msi_model_surr_10_00,3.92
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.2,msi_model_surr_10_00,3.93
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.3,msi_model_surr_10_00,3.93
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.5,msi_model_surr_10_00,3.91
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.7,msi_model_surr_10_00,3.93
42.0,42.0,41.0,42.0,1.0,42.0,1.0,1.0,msi_model_surr_10_00,3.88
41.0,42.0,41.0,41.0,0.0,41.5,0.5,1.4,msi_model_surr_10_00,3.86
43.0,43.0,43.0,43.0,0.0,43.0,0.0,0.05,msi_model_surr_10_01,4.04
42.0,43.0,42.0,42.0,0.0,42.5,0.5,0.1,msi_model_surr_10_01,3.94
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.15,msi_model_surr_10_01,3.9
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.2,msi_model_surr_10_01,3.91
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.3,msi_model_surr_10_01,3.92
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.5,msi_model_surr_10_01,3.91
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.7,msi_model_surr_10_01,3.9
42.0,42.0,41.0,42.0,1.0,42.0,1.0,1.0,msi_model_surr_10_01,3.88
41.0,42.0,41.0,41.0,0.0,41.5,0.5,1.4,msi_model_surr_10_01,3.85
43.0,43.0,43.0,43.0,0.0,43.0,0.0,0.05,msi_model_surr_10_02,3.98
42.0,43.0,42.0,42.0,0.0,42.5,0.5,0.1,msi_model_surr_10_02,3.97
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.15,msi_model_surr_10_02,5.6
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.2,msi_model_surr_10_02,5.86
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.3,msi_model_surr_10_02,5.87
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.5,msi_model_surr_10_02,5.85
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.7,msi_model_surr_10_02,5.66
42.0,42.0,41.0,42.0,1.0,42.0,1.0,1.0,msi_model_surr_10_02,5.79
41.0,42.0,41.0,41.0,0.0,41.5,0.5,1.4,msi_model_surr_10_02,5.78
43.0,43.0,43.0,43.0,0.0,43.0,0.0,0.05,msi_model_surr_10_03,6.01
42.0,43.0,42.0,42.0,0.0,42.5,0.5,0.1,msi_model_surr_10_03,5.89
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.15,msi_model_surr_10_03,5.88
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.2,msi_model_surr_10_03,5.88
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.3,msi_model_surr_10_03,5.86
42.0,42.0,42.0,42.0,0.0,42.0,0.0,0.5,msi_model_surr_10_03,5.8
