A_ms,V_ms,B_ms,"min(A,V)_ms",B_vs_minAV_ms,pulse_ms,intensity,Model,elapsed_s
27.0,42.0,28.0,27.0,-1.0,5,0.1,msi_model_surr_10_00,3.2
27.0,42.0,27.0,27.0,0.0,5,0.3,msi_model_surr_10_00,2.98
27.0,42.0,27.0,27.0,0.0,5,0.7,msi_model_surr_10_00,2.96
26.0,42.0,27.0,26.0,-1.0,5,1.0,msi_model_surr_10_00,2.93
27.0,42.0,28.0,27.0,-1.0,10,0.1,msi_model_surr_10_00,3.0
27.0,42.0,27.0,27.0,0.0,10,0.3,msi_model_surr_10_00,2.97
27.0,42.0,27.0,27.0,0.0,10,0.7,msi_model_surr_10_00,2.97
26.0,42.0,27.0,26.0,-1.0,10,1.0,msi_model_surr_10_00,2.96
27.0,42.0,28.0,27.0,-1.0,20,0.1,msi_model_surr_10_00,3.03
27.0,42.0,27.0,27.0,0.0,20,0.3,msi_model_surr_10_00,2.99
27.0,42.0,27.0,27.0,0.0,20,0.7,msi_model_surr_10_00,2.97
26.0,42.0,27.0,26.0,-1.0,20,1.0,msi_model_surr_10_00,2.93
27.0,42.0,28.0,27.0,-1.0,30,0.1,msi_model_surr_10_00,3.01
27.0,42.0,27.0,27.0,0.0,30,0.3,msi_model_surr_10_00,2.98
27.0,42.0,27.0,27.0,0.0,30,0.7,msi_model_surr_10_00,2.95
26.0,42.0,27.0,26.0,-1.0,30,1.0,msi_model_surr_10_00,2.93
27.0,42.0,28.0,27.0,-1.0,50,0.1,msi_model_surr_10_00,3.03
27.0,42.0,27.0,27.0,0.0,50,0.3,msi_model_surr_10_00,2.99
27.0,42.0,27.0,27.0,0.0,50,0.7,msi_model_surr_10_00,2.97
26.0,42.0,27.0,26.0,-1.0,50,1.0,msi_model_surr_10_00,2.94
27.0,42.0,28.0,27.0,-1.0,100,0.1,msi_model_surr_10_00,3.03
27.0,42.0,27.0,27.0,0.0,100,0.3,msi_model_surr_10_00,4.01
27.0,42.0,27.0,27.0,0.0,100,0.7,msi_model_surr_10_00,4.29
26.0,42.0,27.0,26.0,-1.0,100,1.0,msi_model_surr_10_00,4.2
