A_ms,V_ms,B_ms,"min(A,V)_ms",facil_ms,delays,gNMDA,pulse_ms,intensity,Model,elapsed_s
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,5,0.1,msi_model_surr_10_00,2.75
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,5,0.3,msi_model_surr_10_00,2.54
27.0,27.0,26.0,27.0,1.0,sym_25,0.05,5,0.7,msi_model_surr_10_00,2.52
26.0,27.0,26.0,26.0,0.0,sym_25,0.05,5,1.0,msi_model_surr_10_00,2.48
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,10,0.1,msi_model_surr_10_00,2.57
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,10,0.3,msi_model_surr_10_00,3.44
27.0,27.0,26.0,27.0,1.0,sym_25,0.05,10,0.7,msi_model_surr_10_00,3.58
26.0,27.0,26.0,26.0,0.0,sym_25,0.05,10,1.0,msi_model_surr_10_00,3.55
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,20,0.1,msi_model_surr_10_00,3.62
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,20,0.3,msi_model_surr_10_00,3.62
27.0,27.0,26.0,27.0,1.0,sym_25,0.05,20,0.7,msi_model_surr_10_00,3.57
26.0,27.0,26.0,26.0,0.0,sym_25,0.05,20,1.0,msi_model_surr_10_00,3.52
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,30,0.1,msi_model_surr_10_00,3.61
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,30,0.3,msi_model_surr_10_00,3.59
27.0,27.0,26.0,27.0,1.0,sym_25,0.05,30,0.7,msi_model_surr_10_00,3.55
26.0,27.0,26.0,26.0,0.0,sym_25,0.05,30,1.0,msi_model_surr_10_00,3.53
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,50,0.1,msi_model_surr_10_00,3.6
27.0,27.0,27.0,27.0,0.0,sym_25,0.05,50,0.3,msi_model_surr_10_00,3.6
27.0,27.0,26.0,27.0,1.0,sym_25,0.05,50,0.7,msi_model_surr_10_00,3.58
