A_ms,V_ms,B_ms,eff_A,eff_V,eff_B,"min(A,V)_eff",facil_ms,delays,gNMDA,intensity,Model,elapsed_s
29.0,44.0,30.0,29.0,44.0,30.0,29.0,-1.0,asym_25_40,0.05,0.01,msi_model_surr_10_00,4.67
28.0,44.0,29.0,28.0,44.0,29.0,28.0,-1.0,asym_25_40,0.05,0.02,msi_model_surr_10_00,4.38
28.0,43.0,28.0,28.0,43.0,28.0,28.0,0.0,asym_25_40,0.05,0.03,msi_model_surr_10_00,4.31
28.0,43.0,28.0,28.0,43.0,28.0,28.0,0.0,asym_25_40,0.05,0.05,msi_model_surr_10_00,4.32
28.0,43.0,28.0,28.0,43.0,28.0,28.0,0.0,asym_25_40,0.05,0.07,msi_model_surr_10_00,4.3
27.0,42.0,28.0,27.0,42.0,28.0,27.0,-1.0,asym_25_40,0.05,0.1,msi_model_surr_10_00,4.22
27.0,42.0,27.0,27.0,42.0,27.0,27.0,0.0,asym_25_40,0.05,0.15,msi_model_surr_10_00,4.16
29.0,44.0,29.0,29.0,44.0,29.0,29.0,0.0,asym_25_40,1.3,0.01,msi_model_surr_10_00,4.42
28.0,43.0,29.0,28.0,43.0,29.0,28.0,-1.0,asym_25_40,1.3,0.02,msi_model_surr_10_00,4.34
28.0,43.0,28.0,28.0,43.0,28.0,28.0,0.0,asym_25_40,1.3,0.03,msi_model_surr_10_00,4.3
28.0,43.0,28.0,28.0,43.0,28.0,28.0,0.0,asym_25_40,1.3,0.05,msi_model_surr_10_00,4.29
27.0,43.0,28.0,27.0,43.0,28.0,27.0,-1.0,asym_25_40,1.3,0.07,msi_model_surr_10_00,4.25
27.0,42.0,28.0,27.0,42.0,28.0,27.0,-1.0,asym_25_40,1.3,0.1,msi_model_surr_10_00,4.22
27.0,42.0,27.0,27.0,42.0,27.0,27.0,0.0,asym_25_40,1.3,0.15,msi_model_surr_10_00,4.17
29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,sym_25,0.05,0.01,msi_model_surr_10_00,3.79
28.0,29.0,28.0,28.0,29.0,28.0,28.0,0.0,sym_25,0.05,0.02,msi_model_surr_10_00,3.69
28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,sym_25,0.05,0.03,msi_model_surr_10_00,3.64
28.0,28.0,27.0,28.0,28.0,27.0,28.0,1.0,sym_25,0.05,0.05,msi_model_surr_10_00,3.6
28.0,28.0,27.0,28.0,28.0,27.0,28.0,1.0,sym_25,0.05,0.07,msi_model_surr_10_00,3.6
27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,sym_25,0.05,0.1,msi_model_surr_10_00,3.51
27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,sym_25,0.05,0.15,msi_model_surr_10_00,3.53
29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,sym_25,1.3,0.01,msi_model_surr_10_00,3.78
28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,sym_25,1.3,0.02,msi_model_surr_10_00,3.63
28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,sym_25,1.3,0.03,msi_model_surr_10_00,3.64
28.0,28.0,27.0,28.0,28.0,27.0,28.0,1.0,sym_25,1.3,0.05,msi_model_surr_10_00,3.61
27.0,28.0,27.0,27.0,28.0,27.0,27.0,0.0,sym_25,1.3,0.07,msi_model_surr_10_00,3.56
27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,sym_25,1.3,0.1,msi_model_surr_10_00,3.51
27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.0,sym_25,1.3,0.15,msi_model_surr_10_00,3.53
44.0,45.0,44.0,44.0,45.0,44.0,44.0,0.0,sym_40,0.05,0.01,msi_model_surr_10_00,5.76
43.0,44.0,43.0,43.0,44.0,43.0,43.0,0.0,sym_40,0.05,0.02,msi_model_surr_10_00,5.61
43.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,sym_40,0.05,0.03,msi_model_surr_10_00,5.6
43.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,sym_40,0.05,0.05,msi_model_surr_10_00,5.61
43.0,43.0,42.0,43.0,43.0,42.0,43.0,1.0,sym_40,0.05,0.07,msi_model_surr_10_00,5.56
42.0,43.0,42.0,42.0,43.0,42.0,42.0,0.0,sym_40,0.05,0.1,msi_model_surr_10_00,5.49
42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,sym_40,0.05,0.15,msi_model_surr_10_00,5.45
44.0,44.0,44.0,44.0,44.0,44.0,44.0,0.0,sym_40,1.3,0.01,msi_model_surr_10_00,5.71
43.0,44.0,43.0,43.0,44.0,43.0,43.0,0.0,sym_40,1.3,0.02,msi_model_surr_10_00,5.61
43.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,sym_40,1.3,0.03,msi_model_surr_10_00,5.56
43.0,43.0,43.0,43.0,43.0,43.0,43.0,0.0,sym_40,1.3,0.05,msi_model_surr_10_00,5.57
42.0,43.0,42.0,42.0,43.0,42.0,42.0,0.0,sym_40,1.3,0.07,msi_model_surr_10_00,5.51
42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,sym_40,1.3,0.1,msi_model_surr_10_00,5.46
42.0,42.0,42.0,42.0,42.0,42.0,42.0,0.0,sym_40,1.3,0.15,msi_model_surr_10_00,5.45
