A_ms,V_ms,B_ms,"min(A,V)_eff",facil_ms,gAMPA,gNMDA,intensity,Model,elapsed_s
27.0,42.0,27.0,27.0,0.0,1.0,0.05,0.3,msi_model_surr_10_00,4.36
26.0,42.0,27.0,26.0,-1.0,1.0,0.05,1.0,msi_model_surr_10_00,4.12
27.0,42.0,27.0,27.0,0.0,1.0,1.3,0.3,msi_model_surr_10_00,4.18
26.0,42.0,27.0,26.0,-1.0,1.0,1.3,1.0,msi_model_surr_10_00,4.12
27.0,43.0,28.0,27.0,-1.0,0.5,0.05,0.3,msi_model_surr_10_00,4.26
27.0,42.0,27.0,27.0,0.0,0.5,0.05,1.0,msi_model_surr_10_00,4.16
27.0,42.0,27.0,27.0,0.0,0.5,1.3,0.3,msi_model_surr_10_00,4.15
27.0,42.0,27.0,27.0,0.0,0.5,1.3,1.0,msi_model_surr_10_00,4.15
133.0,156.0,162.0,133.0,-29.0,0.2,0.05,0.3,msi_model_surr_10_00,19.53
28.0,152.0,156.0,28.0,-128.0,0.2,0.05,1.0,msi_model_surr_10_00,14.51
28.0,43.0,28.0,28.0,0.0,0.2,1.3,0.3,msi_model_surr_10_00,4.28
27.0,42.0,28.0,27.0,-1.0,0.2,1.3,1.0,msi_model_surr_10_00,4.2
133.0,156.0,162.0,133.0,-29.0,0.1,0.05,0.3,msi_model_surr_10_00,19.5
136.0,156.0,160.0,136.0,-24.0,0.1,0.05,1.0,msi_model_surr_10_00,19.54
28.0,43.0,28.0,28.0,0.0,0.1,1.3,0.3,msi_model_surr_10_00,4.29
27.0,43.0,28.0,27.0,-1.0,0.1,1.3,1.0,msi_model_surr_10_00,4.23
133.0,157.0,162.0,133.0,-29.0,0.05,0.05,0.3,msi_model_surr_10_00,19.53
136.0,156.0,160.0,136.0,-24.0,0.05,0.05,1.0,msi_model_surr_10_00,19.49
28.0,44.0,28.0,28.0,0.0,0.05,1.3,0.3,msi_model_surr_10_00,4.34
28.0,43.0,28.0,28.0,0.0,0.05,1.3,1.0,msi_model_surr_10_00,4.29
