A_ms,V_ms,B_ms,"min(A,V)",facil_ms,gAMPA,gNMDA,g_FFinh,FFinh_setting,intensity
27.0,27.0,27.0,27.0,0.0,1.0,0.05,0.564756162739117,default,0.1
27.0,27.0,27.0,27.0,0.0,1.0,0.05,0.564756162739117,default,0.3
26.0,27.0,26.0,26.0,0.0,1.0,0.05,0.564756162739117,default,1.0
27.0,27.0,27.0,27.0,0.0,1.0,0.05,0.0,off,0.1
27.0,27.0,27.0,27.0,0.0,1.0,0.05,0.0,off,0.3
26.0,27.0,26.0,26.0,0.0,1.0,0.05,0.0,off,1.0
27.0,27.0,27.0,27.0,0.0,1.0,1.3,0.564756162739117,default,0.1
27.0,27.0,27.0,27.0,0.0,1.0,1.3,0.564756162739117,default,0.3
26.0,27.0,26.0,26.0,0.0,1.0,1.3,0.564756162739117,default,1.0
27.0,27.0,27.0,27.0,0.0,1.0,1.3,0.0,off,0.1
27.0,27.0,27.0,27.0,0.0,1.0,1.3,0.0,off,0.3
26.0,27.0,26.0,26.0,0.0,1.0,1.3,0.0,off,1.0
134.0,,,134.0,-266.0,0.2,0.05,0.564756162739117,default,0.1
133.0,140.0,145.0,133.0,-12.0,0.2,0.05,0.564756162739117,default,0.3
28.0,137.0,28.0,28.0,0.0,0.2,0.05,0.564756162739117,default,1.0
29.0,30.0,29.0,29.0,0.0,0.2,0.05,0.0,off,0.1
28.0,29.0,28.0,28.0,0.0,0.2,0.05,0.0,off,0.3
28.0,28.0,27.0,28.0,1.0,0.2,0.05,0.0,off,1.0
28.0,28.0,28.0,28.0,0.0,0.2,1.3,0.564756162739117,default,0.1
28.0,28.0,27.0,28.0,1.0,0.2,1.3,0.564756162739117,default,0.3
27.0,27.0,27.0,27.0,0.0,0.2,1.3,0.564756162739117,default,1.0
28.0,28.0,28.0,28.0,0.0,0.2,1.3,0.0,off,0.1
28.0,28.0,27.0,28.0,1.0,0.2,1.3,0.0,off,0.3
27.0,27.0,27.0,27.0,0.0,0.2,1.3,0.0,off,1.0
