A_ms,V_ms,B_ms,"min(A,V)_eff",facil_ms,delays,pulse_ms,intensity
29.0,44.0,29.0,29.0,0.0,asym_25_40,5,0.01
28.0,43.0,29.0,28.0,-1.0,asym_25_40,5,0.02
28.0,43.0,28.0,28.0,0.0,asym_25_40,5,0.03
28.0,43.0,28.0,28.0,0.0,asym_25_40,5,0.05
27.0,43.0,28.0,27.0,-1.0,asym_25_40,5,0.07
27.0,42.0,28.0,27.0,-1.0,asym_25_40,5,0.1
29.0,44.0,29.0,29.0,0.0,asym_25_40,10,0.01
28.0,43.0,29.0,28.0,-1.0,asym_25_40,10,0.02
28.0,43.0,28.0,28.0,0.0,asym_25_40,10,0.03
28.0,43.0,28.0,28.0,0.0,asym_25_40,10,0.05
27.0,43.0,28.0,27.0,-1.0,asym_25_40,10,0.07
27.0,42.0,28.0,27.0,-1.0,asym_25_40,10,0.1
29.0,44.0,29.0,29.0,0.0,asym_25_40,20,0.01
28.0,43.0,29.0,28.0,-1.0,asym_25_40,20,0.02
28.0,43.0,28.0,28.0,0.0,asym_25_40,20,0.03
28.0,43.0,28.0,28.0,0.0,asym_25_40,20,0.05
27.0,43.0,28.0,27.0,-1.0,asym_25_40,20,0.07
27.0,42.0,28.0,27.0,-1.0,asym_25_40,20,0.1
29.0,44.0,29.0,29.0,0.0,asym_25_40,30,0.01
28.0,43.0,29.0,28.0,-1.0,asym_25_40,30,0.02
28.0,43.0,28.0,28.0,0.0,asym_25_40,30,0.03
28.0,43.0,28.0,28.0,0.0,asym_25_40,30,0.05
27.0,43.0,28.0,27.0,-1.0,asym_25_40,30,0.07
27.0,42.0,28.0,27.0,-1.0,asym_25_40,30,0.1
29.0,29.0,29.0,29.0,0.0,sym_25,5,0.01
28.0,28.0,28.0,28.0,0.0,sym_25,5,0.02
28.0,28.0,28.0,28.0,0.0,sym_25,5,0.03
28.0,28.0,27.0,28.0,1.0,sym_25,5,0.05
27.0,28.0,27.0,27.0,0.0,sym_25,5,0.07
27.0,27.0,27.0,27.0,0.0,sym_25,5,0.1
29.0,29.0,29.0,29.0,0.0,sym_25,10,0.01
28.0,28.0,28.0,28.0,0.0,sym_25,10,0.02
28.0,28.0,28.0,28.0,0.0,sym_25,10,0.03
28.0,28.0,27.0,28.0,1.0,sym_25,10,0.05
27.0,28.0,27.0,27.0,0.0,sym_25,10,0.07
27.0,27.0,27.0,27.0,0.0,sym_25,10,0.1
29.0,29.0,29.0,29.0,0.0,sym_25,20,0.01
28.0,28.0,28.0,28.0,0.0,sym_25,20,0.02
28.0,28.0,28.0,28.0,0.0,sym_25,20,0.03
28.0,28.0,27.0,28.0,1.0,sym_25,20,0.05
27.0,28.0,27.0,27.0,0.0,sym_25,20,0.07
27.0,27.0,27.0,27.0,0.0,sym_25,20,0.1
29.0,29.0,29.0,29.0,0.0,sym_25,30,0.01
28.0,28.0,28.0,28.0,0.0,sym_25,30,0.02
28.0,28.0,28.0,28.0,0.0,sym_25,30,0.03
28.0,28.0,27.0,28.0,1.0,sym_25,30,0.05
27.0,28.0,27.0,27.0,0.0,sym_25,30,0.07
27.0,27.0,27.0,27.0,0.0,sym_25,30,0.1
44.0,44.0,44.0,44.0,0.0,sym_40,5,0.01
43.0,44.0,43.0,43.0,0.0,sym_40,5,0.02
43.0,43.0,43.0,43.0,0.0,sym_40,5,0.03
43.0,43.0,43.0,43.0,0.0,sym_40,5,0.05
42.0,43.0,42.0,42.0,0.0,sym_40,5,0.07
42.0,42.0,42.0,42.0,0.0,sym_40,5,0.1
44.0,44.0,44.0,44.0,0.0,sym_40,10,0.01
43.0,44.0,43.0,43.0,0.0,sym_40,10,0.02
43.0,43.0,43.0,43.0,0.0,sym_40,10,0.03
43.0,43.0,43.0,43.0,0.0,sym_40,10,0.05
42.0,43.0,42.0,42.0,0.0,sym_40,10,0.07
42.0,42.0,42.0,42.0,0.0,sym_40,10,0.1
44.0,44.0,44.0,44.0,0.0,sym_40,20,0.01
43.0,44.0,43.0,43.0,0.0,sym_40,20,0.02
43.0,43.0,43.0,43.0,0.0,sym_40,20,0.03
43.0,43.0,43.0,43.0,0.0,sym_40,20,0.05
42.0,43.0,42.0,42.0,0.0,sym_40,20,0.07
42.0,42.0,42.0,42.0,0.0,sym_40,20,0.1
44.0,44.0,44.0,44.0,0.0,sym_40,30,0.01
43.0,44.0,43.0,43.0,0.0,sym_40,30,0.02
43.0,43.0,43.0,43.0,0.0,sym_40,30,0.03
43.0,43.0,43.0,43.0,0.0,sym_40,30,0.05
42.0,43.0,42.0,42.0,0.0,sym_40,30,0.07
42.0,42.0,42.0,42.0,0.0,sym_40,30,0.1
