A_ms,V_ms,B_ms,"min(A,V)_eff",facil_ms,A_silent,V_silent,B_silent,delays,pulse_ms,intensity
,,,400.0,0.0,True,True,True,asym_25_40,5,0.0005
33.0,50.0,37.0,33.0,-4.0,False,False,False,asym_25_40,5,0.001
31.0,47.0,33.0,31.0,-2.0,False,False,False,asym_25_40,5,0.002
30.0,46.0,32.0,30.0,-2.0,False,False,False,asym_25_40,5,0.003
30.0,45.0,30.0,30.0,0.0,False,False,False,asym_25_40,5,0.005
29.0,45.0,30.0,29.0,-1.0,False,False,False,asym_25_40,5,0.007
29.0,44.0,29.0,29.0,0.0,False,False,False,asym_25_40,5,0.01
28.0,43.0,29.0,28.0,-1.0,False,False,False,asym_25_40,5,0.02
38.0,68.0,,38.0,-362.0,False,False,True,asym_25_40,10,0.0005
33.0,49.0,36.0,33.0,-3.0,False,False,False,asym_25_40,10,0.001
31.0,47.0,33.0,31.0,-2.0,False,False,False,asym_25_40,10,0.002
30.0,46.0,32.0,30.0,-2.0,False,False,False,asym_25_40,10,0.003
30.0,45.0,30.0,30.0,0.0,False,False,False,asym_25_40,10,0.005
29.0,45.0,30.0,29.0,-1.0,False,False,False,asym_25_40,10,0.007
29.0,44.0,29.0,29.0,0.0,False,False,False,asym_25_40,10,0.01
28.0,43.0,29.0,28.0,-1.0,False,False,False,asym_25_40,10,0.02
38.0,58.0,61.0,38.0,-23.0,False,False,False,asym_25_40,20,0.0005
33.0,49.0,36.0,33.0,-3.0,False,False,False,asym_25_40,20,0.001
31.0,47.0,33.0,31.0,-2.0,False,False,False,asym_25_40,20,0.002
30.0,46.0,32.0,30.0,-2.0,False,False,False,asym_25_40,20,0.003
30.0,45.0,30.0,30.0,0.0,False,False,False,asym_25_40,20,0.005
29.0,45.0,30.0,29.0,-1.0,False,False,False,asym_25_40,20,0.007
29.0,44.0,29.0,29.0,0.0,False,False,False,asym_25_40,20,0.01
28.0,43.0,29.0,28.0,-1.0,False,False,False,asym_25_40,20,0.02
38.0,58.0,61.0,38.0,-23.0,False,False,False,asym_25_40,30,0.0005
33.0,49.0,36.0,33.0,-3.0,False,False,False,asym_25_40,30,0.001
31.0,47.0,33.0,31.0,-2.0,False,False,False,asym_25_40,30,0.002
30.0,46.0,32.0,30.0,-2.0,False,False,False,asym_25_40,30,0.003
30.0,45.0,30.0,30.0,0.0,False,False,False,asym_25_40,30,0.005
29.0,45.0,30.0,29.0,-1.0,False,False,False,asym_25_40,30,0.007
29.0,44.0,29.0,29.0,0.0,False,False,False,asym_25_40,30,0.01
28.0,43.0,29.0,28.0,-1.0,False,False,False,asym_25_40,30,0.02
38.0,58.0,61.0,38.0,-23.0,False,False,False,asym_25_40,100,0.0005
33.0,49.0,36.0,33.0,-3.0,False,False,False,asym_25_40,100,0.001
31.0,47.0,33.0,31.0,-2.0,False,False,False,asym_25_40,100,0.002
30.0,46.0,32.0,30.0,-2.0,False,False,False,asym_25_40,100,0.003
30.0,45.0,30.0,30.0,0.0,False,False,False,asym_25_40,100,0.005
29.0,45.0,30.0,29.0,-1.0,False,False,False,asym_25_40,100,0.007
29.0,44.0,29.0,29.0,0.0,False,False,False,asym_25_40,100,0.01
28.0,43.0,29.0,28.0,-1.0,False,False,False,asym_25_40,100,0.02
,,,400.0,0.0,True,True,True,sym_25,5,0.0005
33.0,34.0,34.0,33.0,-1.0,False,False,False,sym_25,5,0.001
31.0,32.0,31.0,31.0,0.0,False,False,False,sym_25,5,0.002
30.0,31.0,30.0,30.0,0.0,False,False,False,sym_25,5,0.003
30.0,30.0,29.0,30.0,1.0,False,False,False,sym_25,5,0.005
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,5,0.007
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,5,0.01
28.0,28.0,28.0,28.0,0.0,False,False,False,sym_25,5,0.02
38.0,47.0,,38.0,-362.0,False,False,True,sym_25,10,0.0005
33.0,34.0,34.0,33.0,-1.0,False,False,False,sym_25,10,0.001
31.0,32.0,31.0,31.0,0.0,False,False,False,sym_25,10,0.002
30.0,31.0,30.0,30.0,0.0,False,False,False,sym_25,10,0.003
30.0,30.0,29.0,30.0,1.0,False,False,False,sym_25,10,0.005
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,10,0.007
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,10,0.01
28.0,28.0,28.0,28.0,0.0,False,False,False,sym_25,10,0.02
38.0,42.0,45.0,38.0,-7.0,False,False,False,sym_25,20,0.0005
33.0,34.0,34.0,33.0,-1.0,False,False,False,sym_25,20,0.001
31.0,32.0,31.0,31.0,0.0,False,False,False,sym_25,20,0.002
30.0,31.0,30.0,30.0,0.0,False,False,False,sym_25,20,0.003
30.0,30.0,29.0,30.0,1.0,False,False,False,sym_25,20,0.005
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,20,0.007
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,20,0.01
28.0,28.0,28.0,28.0,0.0,False,False,False,sym_25,20,0.02
38.0,42.0,45.0,38.0,-7.0,False,False,False,sym_25,30,0.0005
33.0,34.0,34.0,33.0,-1.0,False,False,False,sym_25,30,0.001
31.0,32.0,31.0,31.0,0.0,False,False,False,sym_25,30,0.002
30.0,31.0,30.0,30.0,0.0,False,False,False,sym_25,30,0.003
30.0,30.0,29.0,30.0,1.0,False,False,False,sym_25,30,0.005
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,30,0.007
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,30,0.01
28.0,28.0,28.0,28.0,0.0,False,False,False,sym_25,30,0.02
38.0,42.0,45.0,38.0,-7.0,False,False,False,sym_25,100,0.0005
33.0,34.0,34.0,33.0,-1.0,False,False,False,sym_25,100,0.001
31.0,32.0,31.0,31.0,0.0,False,False,False,sym_25,100,0.002
30.0,31.0,30.0,30.0,0.0,False,False,False,sym_25,100,0.003
30.0,30.0,29.0,30.0,1.0,False,False,False,sym_25,100,0.005
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,100,0.007
29.0,29.0,29.0,29.0,0.0,False,False,False,sym_25,100,0.01
28.0,28.0,28.0,28.0,0.0,False,False,False,sym_25,100,0.02
,,,400.0,0.0,True,True,True,sym_40,5,0.0005
48.0,50.0,51.0,48.0,-3.0,False,False,False,sym_40,5,0.001
46.0,47.0,47.0,46.0,-1.0,False,False,False,sym_40,5,0.002
45.0,46.0,46.0,45.0,-1.0,False,False,False,sym_40,5,0.003
45.0,45.0,45.0,45.0,0.0,False,False,False,sym_40,5,0.005
44.0,45.0,44.0,44.0,0.0,False,False,False,sym_40,5,0.007
44.0,44.0,44.0,44.0,0.0,False,False,False,sym_40,5,0.01
43.0,44.0,43.0,43.0,0.0,False,False,False,sym_40,5,0.02
53.0,,,53.0,-347.0,False,True,True,sym_40,10,0.0005
48.0,50.0,50.0,48.0,-2.0,False,False,False,sym_40,10,0.001
46.0,47.0,47.0,46.0,-1.0,False,False,False,sym_40,10,0.002
45.0,46.0,46.0,45.0,-1.0,False,False,False,sym_40,10,0.003
45.0,45.0,45.0,45.0,0.0,False,False,False,sym_40,10,0.005
44.0,45.0,44.0,44.0,0.0,False,False,False,sym_40,10,0.007
44.0,44.0,44.0,44.0,0.0,False,False,False,sym_40,10,0.01
43.0,44.0,43.0,43.0,0.0,False,False,False,sym_40,10,0.02
53.0,63.0,,53.0,-347.0,False,False,True,sym_40,20,0.0005
48.0,50.0,50.0,48.0,-2.0,False,False,False,sym_40,20,0.001
46.0,47.0,47.0,46.0,-1.0,False,False,False,sym_40,20,0.002
45.0,46.0,46.0,45.0,-1.0,False,False,False,sym_40,20,0.003
45.0,45.0,45.0,45.0,0.0,False,False,False,sym_40,20,0.005
44.0,45.0,44.0,44.0,0.0,False,False,False,sym_40,20,0.007
44.0,44.0,44.0,44.0,0.0,False,False,False,sym_40,20,0.01
43.0,44.0,43.0,43.0,0.0,False,False,False,sym_40,20,0.02
53.0,63.0,75.0,53.0,-22.0,False,False,False,sym_40,30,0.0005
48.0,50.0,50.0,48.0,-2.0,False,False,False,sym_40,30,0.001
46.0,47.0,47.0,46.0,-1.0,False,False,False,sym_40,30,0.002
45.0,46.0,46.0,45.0,-1.0,False,False,False,sym_40,30,0.003
45.0,45.0,45.0,45.0,0.0,False,False,False,sym_40,30,0.005
44.0,45.0,44.0,44.0,0.0,False,False,False,sym_40,30,0.007
44.0,44.0,44.0,44.0,0.0,False,False,False,sym_40,30,0.01
43.0,44.0,43.0,43.0,0.0,False,False,False,sym_40,30,0.02
53.0,63.0,75.0,53.0,-22.0,False,False,False,sym_40,100,0.0005
48.0,50.0,50.0,48.0,-2.0,False,False,False,sym_40,100,0.001
46.0,47.0,47.0,46.0,-1.0,False,False,False,sym_40,100,0.002
45.0,46.0,46.0,45.0,-1.0,False,False,False,sym_40,100,0.003
45.0,45.0,45.0,45.0,0.0,False,False,False,sym_40,100,0.005
44.0,45.0,44.0,44.0,0.0,False,False,False,sym_40,100,0.007
44.0,44.0,44.0,44.0,0.0,False,False,False,sym_40,100,0.01
43.0,44.0,43.0,43.0,0.0,False,False,False,sym_40,100,0.02
