workflow,protocol_id,endpoint,units,cell_id,q,n_checkpoints,mean_delta,standard_error,t,unadjusted_p_numerator,adjusted_p_numerator,p_denominator,adjusted_p,simultaneous_lower,simultaneous_upper,qc_pass_all_checkpoints,confirmatory_gate
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.05,9,23.64444308810764,0.4045269298887615,58.44961445362732,2,2,512,0.00390625,22.404894904787174,24.883991271428105,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.1,9,23.744444105360245,0.377532543421965,62.89376775347622,2,2,512,0.00390625,22.587611905161026,24.901276305559463,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.15,9,23.744442409939236,0.3496464085285549,67.90987074589121,2,2,512,0.00390625,22.673058681258244,24.815826138620228,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.2,9,23.77777820163303,0.33984368452340435,69.96680910807245,2,2,512,0.00390625,22.736431901450352,24.819124501815708,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.25,9,23.744444529215496,0.3436371376771376,69.09743425788996,2,2,512,0.00390625,22.69147436021767,24.797414698213323,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.3,9,23.666667938232422,0.33082407633522287,71.5385294819083,2,2,512,0.00390625,22.652959449324747,24.680376427140096,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,adaptation_prior,0.35,9,23.566668616400825,0.3261727543196195,72.25210660393677,2,2,512,0.00390625,22.56721267121395,24.5661245615877,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,pv_gaba_scale=0,0.05,9,0.0,0.0,0.0,512,512,512,1.0,0.0,0.0,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,pv_gaba_scale=0,0.1,9,0.0,0.0,0.0,512,512,512,1.0,0.0,0.0,True,False
heldout_confirmation,dm10-phase2-i005-heldout-exploratory-confirmation-v1,delta_G_q,ms,pv_gaba_scale=0,0.15,9,0.0,0.0,0.0,512,512,512,1.0,0.0,0.0,True,False
