SOA_ms,mean_P_fusion,sem_P_fusion,m0,m1,m2,m3,m4
-400,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-380,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-360,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-340,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-320,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-300,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-280,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
-260,0.0040,0.0040,0.000,0.000,0.000,0.000,0.020
-240,0.0520,0.0150,0.040,0.000,0.080,0.080,0.060
-220,0.8600,0.0810,0.600,0.740,1.000,1.000,0.960
-200,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-180,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-160,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-140,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-120,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-100,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-80,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-60,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-40,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
-20,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
0,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
20,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
40,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
60,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
80,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
100,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
120,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
140,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
160,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
180,1.0000,0.0000,1.000,1.000,1.000,1.000,1.000
200,0.3000,0.0888,0.080,0.100,0.460,0.500,0.360
220,0.0200,0.0126,0.000,0.000,0.060,0.040,0.000
240,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
260,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
280,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
300,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
320,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
340,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
360,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
380,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
400,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000
